52575 ['b1m1_batt_power', 'b1m1_solar_power', 'b1m1_batt_charge']
52815 ['b1m1_batt_power', 'b1m1_solar_power', 'b1m1_batt_charge']
52995 ['b1m1_batt_power', 'b1m1_solar_power', 'b1m1_batt_charge']
53115 ['b1m1_batt_power', 'b1m1_solar_power', 'b1m1_batt_charge']
53415 ['b1m1_batt_power', 'b1m1_solar_power', 'b1m1_batt_charge']
54015 ['b1m1_batt_power', 'b1m1_solar_power', 'b1m1_batt_charge']
54615 ['b1m1_batt_power', 'b1m1_solar_power', 'b1m1_batt_charge']
54915 ['b1m1_batt_power', 'b1m1_solar_power', 'b1m1_batt_charge']
55215 ['b1m1_batt_power', 'b1m1_solar_power', 'b1m1_batt_charge']
55395 ['b1m1_batt_power', 'b1m1_solar_power', 'b1m1_batt_charge']
55755 ['b1m1_batt_power', 'b1m1_solar_power', 'b1m1_batt_charge']
55815 ['b1m1_batt_power', 'b1m1_solar_power', 'b1m1_batt_charge']
55935 ['b1m1_batt_power', 'b1m1_solar_power', 'b1m1_batt_charge']
56295 ['b1m1_batt_power', 'b1m1_solar_power', 'b1m1_batt_charge']
56415 ['b1m1_batt_power', 'b1m1_solar_power', 'b1m1_batt_charge']
57015 ['b1m1_batt_power', 'b1m1_solar_power', 'b1m1_batt_charge']
57135 ['b1m1_batt_power', 'b1m1_solar_power', 'b1m1_batt_charge']
